id,type,area,description,severity,impact_on_marking,workaround_or_plan,status
D01,defect,data,"The ToN_IoT flow mirror used here has no timestamp column, so network flows cannot be joined to other sources on time",medium,"limits C5 correlation to IP and asset joins","documented in the timeline as linkage_basis; obtain the original UNSW release with ts for Milestone 3",OPEN
D02,defect,data,"Namibia's ISO-2 country code 'NA' was read by pandas as a missing value, making every user-day look foreign",high,"would have invalidated all access analytics","fixed by switching to ISO-3 codes (NAM) plus a regression test (test_country_code_not_parsed_as_missing)",FIXED
D03,defect,modelling,"Isolation Forest fitted on all flows scores below chance (ROC-AUC 0.28) because attacks are the majority class in ToN_IoT",medium,"could look like a failed component","kept and reported as a finding; a clean-baseline novelty variant (ROC-AUC 0.72) is provided alongside",FIXED BY DESIGN
D04,defect,modelling,"The first adversarial baseline was computed on rows the model had trained on, inflating the reference F1",medium,"would overstate robustness","the stage-08 split is now reproduced exactly and only test rows are perturbed",FIXED
D05,limitation,data,"Access log, tickets, asset inventory and user directory are synthetic",high,"must be declared in report, presentation and Q&A","documented in README section 1, every provenance JSON and the executive brief",ACCEPTED
D06,limitation,modelling,"Ticket classification reaches macro-F1 1.000 because the corpus is template-generated",medium,"a marker may read it as overfitting","caveat stored in nlp_summary.json and repeated in the notebook and README",ACCEPTED
D07,limitation,modelling,"UEBA rule R4 (out-of-hours privileged action) fires 99 times at 4 per cent precision",low,"none if explained","kept deliberately as the contrast case for rule tuning; backlog item to make the threshold role-aware",OPEN
D08,limitation,modelling,"Next-day early warning is weak (ROC-AUC 0.53) because alerts are rare and largely driven by single events",low,"none if reported honestly","reported as a negative result; would need a longer window or event-level features",OPEN
D09,limitation,simulation,"Transmission probabilities are assumed; only p_foothold is measured from the data",medium,"C7 marking expects stated assumptions","assumptions table plus sensitivity over +/-40 per cent; ranking is stable across all scales",ACCEPTED
D10,limitation,simulation,"p_foothold of 0.947 comes from only 19 external privileged events in the synthetic log",medium,"makes MFA look like the dominant control","stated in simulation_summary.json; sensitivity analysis included",OPEN
D11,limitation,prototype,"The Streamlit console reads pre-computed outputs rather than live data",low,"C10 is satisfied, but the demo is static","backlog item T23 for a scheduled refresh",OPEN
D12,limitation,scope,"ToN_IoT is a research testbed, not mining equipment",high,"substitution must be defended","stated in README, executive brief and compliance checklist",ACCEPTED
B01,backlog,data,"Replace the synthetic access log with an approved authentic identity source if one is released",-, -,"re-run stages 06-15; no code changes needed",BACKLOG
B02,backlog,modelling,"Evasion tests that perturb proto/service/conn_state, which the detector actually relies on",-, -,"extend s15 test T2",BACKLOG
B03,backlog,modelling,"Per-device telemetry baselines instead of per-sensor-type baselines",-, -,"requires a device identifier that ToN_IoT does not publish",BACKLOG
B04,backlog,prototype,"Analyst feedback capture in the console (true positive / false positive) to close the intelligence loop",-, -,"small Streamlit form writing to a CSV",BACKLOG
B05,backlog,process,"Automated re-labelling and drift monitoring on a schedule",-, -,"needed for C1 feedback stage to be fully automated",BACKLOG
