ticket_id,opened_at,category,priority,site,asset_id,reported_by,text,gt_entities,data_status
TKT00023,2019-04-01 00:32:00,access_request,P3,PIT-A,AST-0071,mine102,Contractor mine102 requires temporary remote access to the fleet management portal at PIT-A for a commissioning task. Approval and MFA enrolment required before access is granted.,site=PIT-A|target=fleet management portal|user=mine102,SYNTHETIC
TKT00132,2019-04-01 00:32:00,security_incident,P2,PIT-B,AST-0120,it064,Repeated failed remote logins for account it064 from 112.238.161.97 against the PLC engineering workstation on AST-0120. SOC asked to review; account temporarily disabled pending confirmation.,asset=AST-0120|ip=112.238.161.97|target=PLC engineering workstation|user=it064,SYNTHETIC
TKT00297,2019-04-01 02:26:00,mechanical,P2,PIT-A,AST-0158,cont087,Conveyor drive bearing at PIT-A running hot. Vibration readings above the alarm threshold; replacement scheduled for the next shutdown.,site=PIT-A,SYNTHETIC
TKT00213,2019-04-01 02:56:00,mechanical,P4,WORKSHOP-01,AST-0131,main041,Conveyor drive bearing at WORKSHOP-01 running hot. Vibration readings above the alarm threshold; replacement scheduled for the next shutdown.,site=WORKSHOP-01,SYNTHETIC
TKT00245,2019-04-01 14:01:00,security_incident,P2,PORT-WVB,AST-0068,it067,Vendor account it067 logged into the OT jump host outside the approved maintenance window and opened the maintenance portal. No change ticket exists for this work.,target=maintenance portal|user=it067,SYNTHETIC
TKT00198,2019-04-01 14:10:00,mechanical,P4,PORT-WVB,AST-0019,cont086,Crusher liner wear beyond limit at PORT-WVB. Production rate reduced until the liner is replaced.,site=PORT-WVB,SYNTHETIC
TKT00019,2019-04-01 14:18:00,access_request,P4,WORKSHOP-01,AST-0125,cont021,Account cont021 requests privilege elevation on AST-0125 to complete firmware maintenance.,asset=AST-0125|user=cont021,SYNTHETIC
TKT00152,2019-04-01 14:26:00,instrumentation,P1,PORT-WVB,AST-0182,vend074,"Sensor AST-0182 at PORT-WVB reporting values outside the calibrated range. Calibration certificate expired, technician assigned.",asset=AST-0182|site=PORT-WVB,SYNTHETIC
TKT00086,2019-04-01 16:47:00,network_fault,P3,PORT-WVB,AST-0162,cont089,"High latency on the PORT-WVB microwave backhaul. Telemetry from AST-0162 arriving late, historian shows gaps of several minutes.",asset=AST-0162|site=PORT-WVB,SYNTHETIC
TKT00227,2019-04-01 21:04:00,access_request,P1,PORT-WVB,AST-0177,cont014,Contractor cont014 requires temporary remote access to the SCADA HMI at PORT-WVB for a commissioning task. Approval and MFA enrolment required before access is granted.,site=PORT-WVB|target=SCADA HMI|user=cont014,SYNTHETIC
TKT00166,2019-04-01 21:34:00,network_fault,P3,PIT-B,AST-0193,cont082,Intermittent link loss between the PIT-B radio bridge and the core switch. DNP3 sessions from AST-0193 time out during the fault window.,asset=AST-0193|proto=DNP3|site=PIT-B,SYNTHETIC
TKT00295,2019-04-01 21:52:00,access_request,P2,WORKSHOP-01,AST-0151,it068,Account it068 requests privilege elevation on AST-0151 to complete firmware maintenance.,asset=AST-0151|user=it068,SYNTHETIC
TKT00113,2019-04-01 22:23:00,security_incident,P3,PLANT-01,AST-0087,mine103,Repeated failed remote logins for account mine103 from 176.95.169.85 against the maintenance portal on AST-0087. SOC asked to review; account temporarily disabled pending confirmation.,asset=AST-0087|ip=176.95.169.85|target=maintenance portal|user=mine103,SYNTHETIC
TKT00138,2019-04-01 22:50:00,access_request,P3,HQ-WHK,AST-0145,cont079,Request to open DNP3 from the vendor network to AST-0145 for diagnostics. Security review required before the rule is added.,asset=AST-0145|proto=DNP3,SYNTHETIC
TKT00319,2019-04-02 00:01:00,security_incident,P4,TAILINGS-01,AST-0071,it062,Antivirus on the engineering workstation flagged Emotet after a contractor connected a USB drive at TAILINGS-01. Machine isolated from the OT network for imaging.,malware=Emotet|site=TAILINGS-01,SYNTHETIC
