id,area,experiment,setup,result,decision
E01,data,Search for an accessible ToN_IoT mirror,Kaggle and Hugging Face copies require credentials or are blocked,Located public GitHub mirrors for the IoT telemetry and the Zeek flows,Cloned both; documented the clone commands in the README
E02,data,Check whether the flow mirror carries timestamps,44 columns inspected,No `ts` column in this mirror,Recorded as defect D01; cross-source joins use address and asset instead of time
E03,data,Choose an identity/access source for C2,ToN_IoT has no login records; the charter forbids real credentials,Wrote a documented synthetic generator with a fixed seed,"Accepted, with the synthetic status stated in every product"
E04,data,Country codes in the access log,ISO-2 code 'NA' used for Namibia,"pandas read 'NA' as missing, so every user-day looked foreign (100% flagged)",Switched to ISO-3 codes and added a regression test (defect D02)
E05,features,Handle Zeek '-' placeholders,"211,043 flows, 16 columns above 97% empty",Left as text the placeholder becomes an artificial predictor,Converted to missing; sparse columns excluded from features
E06,supervised,"Compare LR, decision tree and random forest",3-fold CV F1 on the training split only,"RF 0.9983, DT 0.9924, LR 0.9690",Random Forest selected; the other two kept as interpretable comparators
E07,supervised,Duplicate leakage check,"20,569 exact duplicates found",Removing them before the split changes the evaluation honestly,Duplicates flagged in the data and excluded from train and test
E08,supervised,Modbus telemetry classifier,Registers plus hour and day-of-week features,RF F1 0.9887 against LR 0.5825,Kept both to show that the OT signal is non-linear
E09,anomaly,"Isolation Forest on flows, fully unsupervised","80,000-flow sample, contamination 0.15",ROC-AUC 0.279 - below chance because attacks are the majority class,Kept and reported as a finding rather than discarded
E10,anomaly,Isolation Forest fitted on known-good traffic only,"60% of normal flows used for fitting, remainder held out",ROC-AUC 0.716 on held-out flows,Adopted as the realistic framing for an OT site
E11,anomaly,LOF as a contrasting method on user-days,"25 neighbours, same feature set as the Isolation Forest",ROC-AUC 0.501 versus 0.997 for IF,IF retained for the prototype; LOF reported as a negative comparison
E12,access,Threshold for the failed-login burst rule,Baseline 99th percentile is 2 failures per day; no account exceeded 3 per hour,A threshold of 5 per hour produced no alerts at all,"Lowered to 3 per hour, justified against the measured baseline"
E13,access,Out-of-hours privileged action rule (R4),Per-account 5th-95th percentile working window,99 alerts at 4% precision against injected behaviour,Kept deliberately as the tuning counter-example; flagged as defect D07
E14,simulation,First network graph was too densely connected,"3,547 edges, 20 steps","Every scenario compromised about 177 of 195 assets, so controls looked useless","Sparsened the OT and IT meshes, lowered base probabilities, shortened the horizon"
E15,simulation,MFA modelled on internal edges,MFA factor applied to the gateway edge,"No effect, because the foothold node is already compromised at step 0","Moved the MFA effect onto the foothold probability, which is where it acts"
E16,simulation,Final scenario comparison,"5 scenarios x 5,000 runs, Wilson intervals",P(reach OT): baseline 0.541 to combined 0.100,Ranking stable across all sensitivity scales
E17,nlp,Ticket classification,"TF-IDF (1-2 grams) with logistic regression, 30% held out",macro-F1 1.000 - optimistic because the corpus is template-generated,"Kept, with the caveat recorded in the outputs and repeated in the report"
E18,nlp,Indicator extraction scored against an answer key,Regular expressions plus an ATT&CK malware gazetteer,"precision 0.972, recall 0.997",Accepted; false positives come from extra entities not in the answer key
E19,risk,Risk band cut-points,"Components are percentile ranks, so an average account scores about 50",Fixed cut-points put 44% of user-days in the 'high' band,"Cut-points moved to score quantiles (0.900, 0.980, 0.995) as an alert budget"
E20,risk,Next-day early warning,"Time-ordered split, logistic regression on day-level features",ROC-AUC 0.528 against a base rate of 0.082,Reported as a negative result rather than tuned until it looked better
E21,adversarial,First robustness baseline was computed on training rows,"40,000-row sample drawn from the whole dataset",Reference F1 was inflated relative to the true held-out score,Stage-08 split reproduced exactly; only test rows are perturbed (defect D04)
E22,adversarial,Four perturbation families,"Drift, evasion, missing data, label poisoning, three severities each",Largest loss is missing data at 50% (F1 -0.23); evasion costs almost nothing,Evasion test recorded as insufficient; backlog item B02
E23,pipeline,End-to-end reproducibility run,18 stages from raw data to compliance checklist,Completed in 135 seconds; 16 test cases pass,Accepted as the Milestone 2 baseline
