code,requirement,datasets,method,expected_output,implementation
C1,"Security analytics lifecycle: framed problem, collection, preparation, analysis, interpretation, action, feedback",all sources,Documented pipeline stages s01-s16 with logs and provenance files,Lifecycle narrative + run_log.txt + provenance JSONs,"src/*.py, docs/"
C2,"At least three distinct security data sources, one identity/access and one network/endpoint/OT",ToN_IoT IIoT telemetry; ToN_IoT network flows; synthetic remote-access log; ATT&CK ICS text; asset + user context,Data inventory and provenance records,"data_inventory.csv, data_dictionary.csv",src/s04_inventory.py
C3,"Data engineering and baseline: dictionary, provenance, cleaning log, descriptive statistics, visual baselines",all sources,Deterministic cleaning pipeline + exploratory analysis,"cleaning_log.csv, baselines, figures","src/s06_clean.py, src/s07_eda.py"
C4,Machine learning: at least one supervised model and one unsupervised/anomaly method,"IIoT telemetry (supervised), network flows + access log (unsupervised)","Logistic Regression / Decision Tree / Random Forest; Isolation Forest, LOF, behavioural baselines","Confusion matrix, precision/recall/F1, anomaly rankings","src/s08_supervised.py, src/s09_anomaly.py"
C5,"Security investigation: correlated timeline, affected entities, response actions",access log + IIoT telemetry + network flows + asset/user context,"Multi-source correlation on time, account and asset","incident_timeline.csv, response plan",src/s11_investigation.py
C6,"Security intelligence: requirements, enrichment, operational and executive products",all analytical outputs + ATT&CK ICS text,"PIR definition, ATT&CK enrichment, tiered reporting","intel_operational.csv, executive brief",src/s12_intelligence.py
C7,Simulation comparing at least three control scenarios,network topology derived from asset inventory + observed attack mix,"Monte Carlo propagation model, >=1000 iterations per scenario","simulation_summary.csv, sensitivity analysis",src/s13_simulation.py
C8,Text mining/NLP on unstructured security text,synthetic tickets (320) + ATT&CK ICS text (357),"Cleaning, TF-IDF, supervised classification, indicator/entity extraction, topic view","classification report, extracted_indicators.csv",src/s14_textmining.py
C9,Predictive risk/forecast and at least three adversarial or robustness tests,"IIoT telemetry, access log features",Interpretable daily risk score + drift/noise/evasion/missing-data tests,"risk_scores.csv, adversarial_results.csv",src/s15_risk_adversarial.py
C10,Decision-support prototype,all processed outputs,Streamlit analyst console + reproducible notebook,"app/app.py, notebooks/capstone_walkthrough.ipynb","app/, notebooks/"
